UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment,processed_text
947,45899,"Las Vegas, NV",12-03-2020,@Second_Son_da_G Lol Hoarding toilet paper like its food!? #Covid_19 is resetting some incomes for sure. Stock market hitting pockets &amp; balancing scales. Thing about living in poverty is you can't fall much further so this won't hurt so much it's the ,Extremely Positive,secondsondag lol hoard toilet paper like food covid19 reset incom sure stock market hit pocket amp balanc scale thing live poverti cant fall much wont hurt much
948,45900,,12-03-2020,"Facts:
1.Stock Market plunged by 3000 points only yesterday.
2.A failed agreement between Saudi Arabia and Russia caused the global oil prices to plunge 30%.
3.Prices hit record low and a recession is predicted.  #CoronavirusPandemic  #Covid_19  #lockdown  #coronavirus  #Corona",Extremely Negative,fact 1stock market plung 3000 point yesterday 2a fail agreement saudi arabia russia caus global oil price plung 30 3price hit record low recess predict coronaviruspandem covid19 lockdown coronaviru corona
949,45901,Dubai,12-03-2020,Catch me online shopping during this Covid-19 season,Neutral,catch onlin shop covid19 season
950,45902,,12-03-2020,@RepSusanDavis @CDCgov Get us more test kits and start reporting accurate numbers! The community believes we have one case here - we havent tested enough. People have it and are already affecting San Diego! The grocery store today sounded like an infirm,Positive,repsusandavi cdcgov get us test kit start report accur number commun believ one case havent test enough peopl alreadi affect san diego groceri store today sound like infirm
951,45903,"Sheffield, England",12-03-2020,So I went to do my groceries today (post-nights) cause I genuinely have no food at home. Literally thought that therell be less people at supermarket as it is working hours. Little did I know that I was wrong #Covid_19,Extremely Negative,went groceri today postnight caus genuin food home liter thought therel less peopl supermarket work hour littl know wrong covid19
952,45904,VA,12-03-2020,Bought to go the grocery store ? wish me luck. #Covid_19 https://t.co/Q8G7uphMpW,Extremely Positive,bought go groceri store wish luck covid19
953,45905,,12-03-2020,"Victorias health department is advising anyone who might have coronavirus to prepare to stock up on essential items from the supermarket. #covid19australia #Covid_19 #COVID?19 #COVID19 #coronavirus #CoronaOutbreak #CoronavirusPandemic 

https://t.co/BMf8JIvKBZ",Neutral,victoria health depart advis anyon might coronaviru prepar stock essenti item supermarket covid19australia covid19 covid19 covid19 coronaviru coronaoutbreak coronaviruspandem
954,45906,"Longford, Dublin",12-03-2020,Does everybody feel compelled to share their supermarket empty shelves stories? I think at this stage we get it #Covid_19,Positive,everybodi feel compel share supermarket empti shelv stori think stage get covid19
955,45907,OK ? TX ? IN,12-03-2020,"I hope your grannys nurse doesnt end up at the grocery store behind the 25 year olds saying coronavirus cant get me, so im still traveling everywhere. #CancelEverything #CoronaOutbreak #Covid_19",Positive,hope granny nurs doesnt end groceri store behind 25 year old say coronaviru cant get im still travel everywhere canceleveryth coronaoutbreak covid19
956,45908,Italy,12-03-2020,"it's really weird to go to the supermarket, have to wait in line to get in and then you see people wearing masks and gloves ??

it looks like the beginning of the apocalypse #Covid_19 https://t.co/r8IGT57dAN",Positive,realli weird go supermarket wait line get see peopl wear mask glove look like begin apocalyps covid19
957,45909,"Hamburg, Germany",12-03-2020,#CoronavirusPandemic  will help online grocery shopping break through in germany - no free delivery slots in the next two weeks in my area @REWE_Supermarkt  #disruption #ecommerce #delivery #Covid_19 https://t.co/SVaxCWymys,Positive,coronaviruspandem help onlin groceri shop break germani free deliveri slot next two week area rewesupermarkt disrupt ecommerc deliveri covid19
958,45910,,12-03-2020,Russia dropping oil prices to screw up U.S. drilling &amp; fracking.  China dumps WuFlu on U.S.  All in hopes to dismantle our economy!  Do not forget trump said its better to deal with us before elections than after! Bad for xi n china! #coronavirus #Covid_19 #Trump #Trump2020 https://t.co/9TwZ40iXyy,Negative,russia drop oil price screw us drill amp frack china dump wuflu us hope dismantl economi forget trump said better deal us elect bad xi n china coronaviru covid19 trump trump2020
959,45911,,12-03-2020,"Europe travel ban, tv series stopping filming, NBA suspending it's season #Corona #CoronaVirus #CoronaVirusOutbreak - idk i made light of people going crazy at the grocery store, I'm starting to think, im gonna stock up on food (not toilet paper tho, least not bad like them)",Extremely Negative,europ travel ban tv seri stop film nba suspend season corona coronaviru coronavirusoutbreak idk made light peopl go crazi groceri store im start think im gon na stock food toilet paper tho least bad like
960,45912,Jeonghan is so majestic?,12-03-2020,"PH peeps~

Nag-announce si duterte about sa possible lockdown daw ng mga provinces if there is atleast two confirmed cases of covid-19  and class suspensions until April 12 :'00

I'm not 100% sure about this but as much as possible stock some food and supplies incase...",Negative,ph peep nagannounc si dutert sa possibl lockdown daw ng mga provinc atleast two confirm case covid19 class suspens april 12 00 im 100 sure much possibl stock food suppli incas
961,45913,#worldwide ,13-03-2020,"I just went to grocery store for a bagel in greater L.A. area  &amp; the lines were VERY LONG ..shelves emptying quickly. People are PANIC buying &amp; hoarding. Some with 2 full carts. #coronapocalypse #coronaCrazy
#coronavirus #COVID2019 https://t.co/JZAI0bEYz7",Extremely Negative,went groceri store bagel greater la area amp line long shelv empti quickli peopl panic buy amp hoard 2 full cart coronapocalyps coronacrazi coronaviru covid2019
962,45914,North East. England ,13-03-2020,The economic social amp emotional impact of 19uk on the UK can be disastrous especially for small independent micro business owners If you re out shopping eating drinking please choose indie over chains amp if you re at home please order from them online  ,Positive,econom social amp emot impact 19uk uk disastr especi small independ micro busi owner shop eat drink pleas choos indi chain amp home pleas order onlin
963,45915,SoCal,13-03-2020,"#PSA for #CoronaVirus
If you can't find wipes, TP or hand sanitizer at your local grocery store... Try your lil local corner liquor stores. They won't have as much, but ppl aren't typically going there to buy, so u can find some.",Positive,psa coronaviru cant find wipe tp hand sanit local groceri store tri lil local corner liquor store wont much ppl arent typic go buy u find
964,45916,Springfield ,13-03-2020,Been one of the earliest ones to be tweeting and alerting what will go down and how . People are still in denial mode. Its too late to prepare on many aspects. I would tell people to stock food. This wont go away without burning through 60% population #Covid_19 #WuhanVirus https://t.co/2piLJpvbK2,Extremely Positive,one earliest one tweet alert go peopl still denial mode it late prepar mani aspect would tell peopl stock food wont go away without burn 60 popul covid19 wuhanviru
965,45917,London & Lahore,13-03-2020,"Day 1:
I have self-quarantined myself with enough supplies of food &amp; water to last for weeks or may b months without having to interact with anyone outside and wait until this pandemic #Covid_19 is over

Day 1 + 30 mins:
I am at local grocery store because i was craving snickers.",Neutral,day 1 selfquarantin enough suppli food amp water last week may b month without interact anyon outsid wait pandem covid19 day 1 30 min local groceri store crave snicker
966,45918,"Addis Ababa,Ethiopa",13-03-2020,"We don't need to panic, and just so you understand if you stoking you need at least 30 days worth food, sanitary materials and medicine. 

Save the resources for other too. If everyone is not safe, nobody is safe.
#COVID_19ET #Ethiopia #CoronainEthiopia 

Pic: Bole,now. https://t.co/CemKlsDK8v",Negative,dont need panic understand stoke need least 30 day worth food sanitari materi medicin save resourc everyon safe nobodi safe covid19et ethiopia coronainethiopia pic bolenow
967,45919,?????,13-03-2020,Call now 202 224 3121 and demand Congress pass the bill   Free testing   14 days paid sick leave   3 months paid family leave   Expanded unemployment insurance and food security   Medicaid funds,Negative,call 202 224 3121 demand congress pass bill free test 14 day paid sick leav 3 month paid famili leav expand unemploy insur food secur medicaid fund
968,45920,,13-03-2020,About to head to the grocery store(because I do every Friday and actually need stuff) and I'm kinda scared.  #Covid_19,Negative,head groceri storebecaus everi friday actual need stuff im kinda scare covid19
969,45921,North Shore of Boston ,13-03-2020,None of these fuckers have been in a superstore or grocery store #Covid_19,Positive,none fucker superstor groceri store covid19
970,45922,#Hartford #Connecticut ,13-03-2020,"With the #CoronavirusPandemic this is going to be a bad couple of weeks for People w/? Anxiety&amp;those that are Germaphobes..Just trying to go to the Supermarket will be HELL&amp;fury!.?????
#Covid_19 #CoronaOutbreak",Extremely Negative,coronaviruspandem go bad coupl week peopl w anxietyampthos germaphobesjust tri go supermarket hellampfuri covid19 coronaoutbreak
971,45923,,13-03-2020,"Is it just me, or has anyone else noticed that petrol and diesel prices have dropped since the Coronavirus outbreak? Or am I missing another reason? #Covid_19",Negative,anyon els notic petrol diesel price drop sinc coronaviru outbreak miss anoth reason covid19
972,45924,,13-03-2020,Absolutely outrageous to hear that some companies are preying on people s fears during such hard times by hiking up the price of hand sanitiser and soap  If you have a stock at home please consider giving some to your local food bank ,Positive,absolut outrag hear compani prey peopl fear hard time hike price hand sanitis soap stock home pleas consid give local food bank
973,45925,,13-03-2020,"2/ Apparently someone left a delivery note asking to knock on the door, leave the food outside the door and just leave. Some people are really in full on #Covid_19 panic mode",Negative,2 appar someon left deliveri note ask knock door leav food outsid door leav peopl realli full covid19 panic mode
974,45926,"Las Vegas, NV",13-03-2020,Imagine what's going to happen to consumer credit w/hundreds of millions of american card holders furloughed with #coronavirus choosing between your credit card bill and the last mask or last 25 lb bag of rice is going to be an easy and reflexive choice for consumers.,Extremely Positive,imagin what go happen consum credit whundr million american card holder furlough coronaviru choos credit card bill last mask last 25 lb bag rice go easi reflex choic consum
975,45927,"Earth, Third Planet from the Sun",13-03-2020,"@GovernorLittle @WhiteHouse How many Idahoans tested to date? How many new test kits will we see ea. week? Hi-risk people w exposure &amp; symptoms are dismissed by CDH staff reading from a script. So. Korea tests 10,000/day; more than total U.S. to date.",Negative,governorlittl whitehous mani idahoan test date mani new test kit see ea week hirisk peopl w exposur amp symptom dismiss cdh staff read script korea test 10000day total us date
976,45928,"Los Angeles, CA",13-03-2020,"I'm selling E-Toilet Paper.
Hit me up on the DM's for prices
#Covid_19 #toiletpapercrisis",Neutral,im sell etoilet paper hit dm price covid19 toiletpapercrisi
977,45929,"East Midlands, England",13-03-2020,"so I work in retail [at a book+gift store] and im really hoping our sales are down. I'm hoping people aren't pretending covid-19 isnt a thing, that it isnt important. i think me having to go to work is unnecessary and even if i ended up sick i couldn't stay home [1/4]",Extremely Positive,work retail bookgift store im realli hope sale im hope peopl arent pretend covid19 isnt thing isnt import think go work unnecessari even end sick couldnt stay home 14
978,45930,,13-03-2020,"Co, ro, and na coming together to lower gas prices, close down schools, cause state of emergencies, and be the main topic of discussion #Covid_19 #coronavirus https://t.co/S0tUDiF00e",Negative,co ro na come togeth lower ga price close school caus state emerg main topic discuss covid19 coronaviru
979,45931,LA/LDN/DC,13-03-2020,"shout out to the man in front of me at the grocery store getting his version of coronavirus provisions: 10 bottles of wine, three frozen pizzas, a giant bag of M&amp;Ms, big bag of chips, cigarettes, and a BIG pack of condoms

#coronavirus #COVID2019 #endtimes",Neutral,shout man front groceri store get version coronaviru provis 10 bottl wine three frozen pizza giant bag mampm big bag chip cigarett big pack condom coronaviru covid2019 endtim
980,45932,,13-03-2020,mixed Advice Stock up on food amp essentials for 3mths Take cash out of banks banks will soon shutdown Have alternative currency ei Bitcoin XRP or physical gold silver Follow high amp on Twitter n Youtube for latest news Get Vitamin C amp Chaga,Positive,mix advic stock food amp essenti 3mth take cash bank bank soon shutdown altern currenc ei bitcoin xrp physic gold silver follow high amp twitter n youtub latest news get vitamin c amp chaga
981,45933,flagstaff ,13-03-2020,"Grocery stores out of food so, if i eated soap. I dont eat it bc i did. No i didnt #Covid_19",Negative,groceri store food eat soap dont eat bc didnt covid19
982,45934,"Toronto, Ontario",13-03-2020,"Jesus Christ. 

Can y'all leave me some goddamned food and shit tickets until I can get to the grocery store tonight?!? ?????

#CoronavirusPandemic #Covid_19 #coronavirus",Extremely Negative,jesu christ yall leav goddamn food shit ticket get groceri store tonight coronaviruspandem covid19 coronaviru
983,45935,Portsmouth ,13-03-2020,My opinion I am mad as hell The and has easily panicked the whole world over a flu We are being held hostage by intense propaganda pushed for their agenda Schools closed Events cancelled Stock market declined Toilet paper food shortages Etc,Extremely Negative,opinion mad hell easili panick whole world flu held hostag intens propaganda push agenda school close event cancel stock market declin toilet paper food shortag etc
984,45936,he/him,13-03-2020,"Please leave this poor retail worker alone ?
I wish we could put up a list of the items that are out of stock on the front doors
And people give me looks when I tell them we get truck only once a week. Stop that. We are just a low-volume office supply store! #covid_19",Negative,pleas leav poor retail worker alon wish could put list item stock front door peopl give look tell get truck week stop lowvolum offic suppli store covid19
985,45937,United States,13-03-2020,"California has prices have dropped and if you use Safeway club card, you are going to pay much less. This is what I paid for 91.

#Covid_19 
#CoronaOutbreak 
#coronapocalypse ? https://t.co/Syyi7XlU2D",Negative,california price drop use safeway club card go pay much less paid 91 covid19 coronaoutbreak coronapocalyps
986,45938,"Lagos, Nigeria",13-03-2020,"Corona strikes ...
Global market shaking ...
Oil prices drop...

@america @POTUS orders the purchase of crude oil to fill up their reserves .

Opportunist? 

#CoronaOutbreak #Covid_19 #FridayThe13th #COVID19 #FridayMotivation",Extremely Negative,corona strike global market shake oil price drop america potu order purchas crude oil fill reserv opportunist coronaoutbreak covid19 fridaythe13th covid19 fridaymotiv
987,45939,fiji,13-03-2020,"Ensure to stock on food &amp; supplies, there's a possibility that the country may be shut down &amp; places into quarantine due to the COVID-19 
(those that live internationally, ie USA) 
Some schools have already been shit down due to virus scares and some who even contracted it.",Negative,ensur stock food amp suppli there possibl countri may shut amp place quarantin due covid19 live intern ie usa school alreadi shit due viru scare even contract
988,45940,,13-03-2020,"News: avoid crowded areas
Society: 100 people jam packed in one grocery store

How is this helping the problem???  #Covid_19 #CoronaOutbreak",Negative,news avoid crowd area societi 100 peopl jam pack one groceri store help problem covid19 coronaoutbreak
989,45941,Herts,13-03-2020,"Well done @premierleague for postponing all footy matches until April 3rd / April 4th due to the #coronavirus 

https://t.co/3orhGMdmXi

Stock markets at their lowest, public stock piling food, most sport cancelled, 208 new cases today in UK and I don't think we are at its worst.",Extremely Negative,well done premierleagu postpon footi match april 3rd april 4th due coronaviru stock market lowest public stock pile food sport cancel 208 new case today uk dont think worst
990,45942,Philly,13-03-2020,My local grocery store #Covid_19 https://t.co/zhqnNZip93,Neutral,local groceri store covid19
991,45943,,13-03-2020,"Me getting ready to go to work at a grocery store while this Coronavirus is boomin and people are being psycho 
 https://t.co/WYKsIGN0yo
#CoronaVirus #COVID2019 #lockdown #CoronaOutbreak",Positive,get readi go work groceri store coronaviru boomin peopl psycho coronaviru covid2019 lockdown coronaoutbreak
992,45944,Bulgaria,13-03-2020,That's the line in front of the supermarket in my neighborhood.  They said they can let between 5 and 30 people inside at the same time #Sofia #Bulgaria #Covid_19 #CoronaOutbreak https://t.co/wd4Gp0BCtA,Neutral,that line front supermarket neighborhood said let 5 30 peopl insid time sofia bulgaria covid19 coronaoutbreak
993,45945,????? ?????? ?????? ??? ??? ,13-03-2020,"and such attacks can seriously damage economy as well as consumer confidence. The later destructive activity is called agrobioterrorism and is subtype of agro-terrorism.
#Covid_19 
#COVID19 
? #???_?????_???

#CoronaFromUSA 
#?????_??_?????? https://t.co/bwnuBeXx7h",Extremely Negative,attack serious damag economi well consum confid later destruct activ call agrobioterror subtyp agroterror covid19 covid19 coronafromusa
994,45946,bumilangit cinematic universe,13-03-2020,"These infographics help put things to perspective. Seriously, do not go out and buy shit in bulk and avoid Chinese food. Don't panic. #CoronavirusPandemic #Covid_19 https://t.co/vpnlAQ4NsU",Extremely Negative,infograph help put thing perspect serious go buy shit bulk avoid chines food dont panic coronaviruspandem covid19
995,45947,"Mother Base, Caribbean Sea",13-03-2020,the grocery store is out of toilet paper. i think people are freaking out and buying toilet paper because they are afraid of being quarantined. #Coronavirus #WuhanVirus #COVD19 #COVID19 #COVID_19 #CoronavirusPandemic https://t.co/9fzSGlcBf4,Negative,groceri store toilet paper think peopl freak buy toilet paper afraid quarantin coronaviru wuhanviru covd19 covid19 covid19 coronaviruspandem
996,45948,"Chicago, IL - USA",13-03-2020,"DONT FORGET TO BE POLITE TO OTHERS, ESPECIALLY THE PEOPLE WORKING AT THE GROCERY STORE RIGHT NOW! THEYRE WORKING THEIR ASSES OFF! #QuarantineAndChill #StateOfEmergency #Covid_19 #lockdown #NationalEmergency #CoronaOutbreak #FridayThoughts",Positive,dont forget polit other especi peopl work groceri store right theyr work ass quarantineandchil stateofemerg covid19 lockdown nationalemerg coronaoutbreak fridaythought
997,45949,,13-03-2020,Wow now the time has come here too kindergartens amp schools are closed from Monday to April 20th because of Corona So we re not far from Italy s situation anymore I m going to do a lot of stock shopping today canned food frozen food drinks toilet paper,Positive,wow time come kindergarten amp school close monday april 20th corona far itali situat anymor go lot stock shop today can food frozen food drink toilet paper
998,45950,,13-03-2020,"#Coronavirus: nieuw woord geleerd ""statistieken stalkers""

https://t.co/fLamEBSjwr

?[statistics] stalkers also agreed more than non-stalkers did with the statement that it was important to stock up on water, food and toilet paper to prepare for a virus outbreak",Positive,coronaviru nieuw woord geleerd statistieken stalker statist stalker also agre nonstalk statement import stock water food toilet paper prepar viru outbreak
999,45951,,13-03-2020,"Wow, even expensive meat is gone. Supermarket packed. Disifectant is all gone. #Covid_19 https://t.co/6SBJS852GN",Positive,wow even expens meat gone supermarket pack disifect gone covid19
1000,45952,"Houston, TX",13-03-2020,"I'm still trying to figure out why people are going nuts buying half the grocery store out.

I went my local Kroger

Bread, gone
Water, gone
Eggs, gone
TP, gone
Plus many more...

MSM has ppl scared out of their mind over #Covid_19  and hoarding groceries.

This is UNREAL!",Extremely Negative,im still tri figur peopl go nut buy half groceri store went local kroger bread gone water gone egg gone tp gone plu mani msm ppl scare mind covid19 hoard groceri unreal
1001,45953, ,13-03-2020,Can someone explain why the gas prices so low? With everything going #Covid_19 #CoronaOutbreak,Negative,someon explain ga price low everyth go covid19 coronaoutbreak
1002,45954,,13-03-2020,"You can tell this episode of Here's Lucy is from a long time ago...because the grocery store they went to is fully stocked, ha!
Interesting timing to have it airing while our supermarkets have empty shelves!? 
#LosAngeles #California #emergencypreparedness #Covid_19 #coronavirus https://t.co/6AeporFXqm",Positive,tell episod here luci long time agobecaus groceri store went fulli stock ha interest time air supermarket empti shelv losangel california emergencyprepared covid19 coronaviru
1003,45955,"North East, USA",13-03-2020,Call your Rep amp Senators today amp demand they pass the bill It contains Free testing 14 days paid sick leave 3 months paid family leave Expanded unemployment insurance amp food security Medicaid funds Lives are on the line 202 224 3121,Negative,call rep amp senat today amp demand pass bill contain free test 14 day paid sick leav 3 month paid famili leav expand unemploy insur amp food secur medicaid fund live line 202 224 3121
1004,45956,Kansas,13-03-2020,"I coughed at the grocery store tonight. This dude looked like he wanted to stab me! Like chill bro, I got allergies! I swear ?? #Covid_19 #coronavirus #allergies",Neutral,cough groceri store tonight dude look like want stab like chill bro got allergi swear covid19 coronaviru allergi
1005,45957,"Atlanta, GA",13-03-2020,Someone else said this Being able to stock up on food is a privilege Having sick leave is an American privilege WFH is an American privilege If you have these privileges do what you can to help others who don t We in this together  ,Extremely Positive,someon els said abl stock food privileg sick leav american privileg wfh american privileg privileg help other togeth
1006,45958,"North Andover, MA",13-03-2020,"So someone please explain to me why we are encouraging people to stay in their houses and avoid public places and then shaming them WHEN THEY STOCK UP OF FOOD AND WATER TO STAY HOME! 
#Covid_19",Positive,someon pleas explain encourag peopl stay hous avoid public place shame stock food water stay home covid19
1007,45959,"Norwich, England",13-03-2020,"I think #Covid_19 has shown the UKs true colours. 
Everyone hates everyone and theyre all out for themselves, so selfish and typically British..only have to look at supermarket shelves for proof #BeKind 
Done with this planet, let me off NOW ?? https://t.co/dLbkThle3a",Extremely Negative,think covid19 shown uk true colour everyon hate everyon theyr selfish typic britishonli look supermarket shelv proof bekind done planet let
1008,45960,"San Antonio, TX",13-03-2020,"News: Grocery stores cant keep food on the shelves.

Mom: Should we stock up on food? 
Me: Na, Ill just buy yall some beans and rice.

Arrive at @HEB - shelves empty ? sees 2 bags of rice ?

Mom: Nice they had rice, wheres the beans. 
Me: Um, so what happened was
#Covid_19 https://t.co/4idqoTHxcL",Positive,news groceri store cant keep food shelv mom stock food na ill buy yall bean rice arriv heb shelv empti see 2 bag rice mom nice rice where bean um happen covid19
1009,45961,free $bat 4 surfing the web,13-03-2020,"Wake-up call for the consumer society! I believe this is natures way of slapping us in the face. Wealth has to be divided equally across the globe. The infrastructure is here already (internet). To turn things around and manage this we have #DLT #Blockchain #bitcoin 
#Covid_19",Positive,wakeup call consum societi believ natur way slap us face wealth divid equal across globe infrastructur alreadi internet turn thing around manag dlt blockchain bitcoin covid19
1010,45962,World,13-03-2020,"I'm sending love to doctors, nurses and supermarket employees across the world ? 

Together, all across the World we can beat this Virus!

#bitcoin #Covid_19 #covid19Nederland #COVID2019NL https://t.co/qxOUOsBIZQ",Extremely Positive,im send love doctor nurs supermarket employe across world togeth across world beat viru bitcoin covid19 covid19nederland covid2019nl
1011,45963,Planet Earth,13-03-2020,"Ok, now this shit is gettin way outta hand! ??? #CostcoPanicBuying 
#coronapocalypse https://t.co/TR71hl0VUH",Positive,ok shit gettin way outta hand costcopanicbuy coronapocalyps
1012,45964,everywhere,13-03-2020,"the supermarket shelves in NYC. Loo roll hoarding is not just an Aussie thing! 

#aupol #coronavirus #Covid_19 https://t.co/hScuxnBgoG",Neutral,supermarket shelv nyc loo roll hoard aussi thing aupol coronaviru covid19
1013,45965,"Texas, USA",13-03-2020,Omg I am in line just to get food!! I am back in Nicaragua ??thank you Democrats for promoting panic!!#coronapocalypse #Covid_19 https://t.co/L21eBcjIE9,Positive,omg line get food back nicaragua thank democrat promot paniccoronapocalyps covid19
1014,45966,Toronto,13-03-2020,So I was just on the Costco app and you know what they have toilet paper that they will deliver to your door in 2 days at fully normal prices......go figure????? #Covid_19 #Hoarding,Neutral,costco app know toilet paper deliv door 2 day fulli normal pricesgo figur covid19 hoard
1015,45967,Chillin' on a dirt road,13-03-2020,The grocery store is out of control. #Covid_19,Neutral,groceri store control covid19
1016,45968,"Sugar Land,TX",13-03-2020,"@totemranch613 @sohos1963 This=as bad for the ?as the Paris Accord:IT'S  PLAIN TO SEE THAT GLOBALISTS ARE PUSHING EVERYWHERE W/THEIR AGENDA OF?DOMINATION:THEY?THEIR MOMENT IS NOW,WITH ?MARKETS VOLATILE D/T CHINA'S COVID-19 SPREAD+ENSUING PANIC,AN ELECTION",Extremely Negative,totemranch613 sohos1963 thisa bad pari accordit plain see globalist push everywher wtheir agenda ofdominationtheytheir moment nowwith market volatil dt china covid19 spreadensu panican elect
1017,45969,,13-03-2020,"Breaking!

CCP army arrested citizens after protests against high food prices in #Wuhan #China

#COVID2019 #WuhanCoronavirus #COVID19 #coronavirus coronavirus https://t.co/BCLqB8MZXy",Extremely Negative,break ccp armi arrest citizen protest high food price wuhan china covid2019 wuhancoronaviru covid19 coronaviru coronaviru
1018,45970,Limousin,13-03-2020,"I don't usually do that kind of tweet, but I would like to tell you guys how things went in my small place in France because of that #Covid_19. And trust me, I never... ever saw that in my entire life. Even some colleagues at the supermarket who are here for over 10 years...",Extremely Positive,dont usual kind tweet would like tell guy thing went small place franc covid19 trust never ever saw entir life even colleagu supermarket 10 year
1019,45971,"Global (U.S, Europe, Africa)",13-03-2020,"The news networks were disallowed from issuing proper warnings about coronavirus in order to save the stock prices of the corporations who own them.

The many deaths that will occur as a result of this deception are a sacrifice they willingly made.  #Covid_19 https://t.co/uv6SvlcWHT",Negative,news network disallow issu proper warn coronaviru order save stock price corpor mani death occur result decept sacrific willingli made covid19
1020,45972,"Riverton, UT",13-03-2020,"Happy to report that I jumped on the panic shopping band wagon weeks ago and stocked up on the essentials, which really only consisted of dog food so my baby doesnt go hungry. #Priorities #Covid_19 #coronapocalypse https://t.co/I8ncKCuypo",Positive,happi report jump panic shop band wagon week ago stock essenti realli consist dog food babi doesnt go hungri prioriti covid19 coronapocalyps
1021,45973,Northern Ireland,13-03-2020,"Judging by the supermarket shelves, the 'be kind' has been replaced with 'fuck you'. 

#Covid_19 
#coronavirus 
#panicbuying",Neutral,judg supermarket shelv kind replac fuck covid19 coronaviru panicbuy
1022,45974,"England, United Kingdom",13-03-2020,"In these difficult times please consider donating to your local #FoodbankFriday
@CAFODWestmin @CAFODSouthwark
As panic buys are causing a lot of shortages.

https://t.co/O6ROyXLChZ
Our Lady of Fatima, pray for us.
#Covid_19 #Lent2020",Negative,difficult time pleas consid donat local foodbankfriday cafodwestmin cafodsouthwark panic buy caus lot shortag ladi fatima pray us covid19 lent2020
1023,45975,"North Dakota, USA",13-03-2020,"It makes me sad to think about all the food that will go to waste after the dust settles around #Covid_19 and people start throwing out the food they panic-bought. 

Please use everything you purchase. Not everyone is as lucky as you to be able to buy ahead.",Extremely Negative,make sad think food go wast dust settl around covid19 peopl start throw food panicbought pleas use everyth purchas everyon lucki abl buy ahead
1024,45976,"Providence, Rhode Island",13-03-2020,I ve never seen it so crowded It was crazy in there  Shopper at Stop amp Shop As more and more people prepare to stay home to slow the spread of stores amp online shopping services have been much busier than usual,Negative,never seen crowd crazi shopper stop amp shop peopl prepar stay home slow spread store amp onlin shop servic much busier usual
1025,45977,,13-03-2020,While others are able to work from home retail workers are the last ones standing during this pandemic Do you know if your store is taking the necessary measures to protect you and your community,Positive,other abl work home retail worker last one stand pandem know store take necessari measur protect commun
1026,45978,,13-03-2020,"People rushing to stock up of Food, Water, Vitamins C &amp; D plus Zinc to protect against covid-19 before all cities on the globe are LOCKED DOWN. Don't trust the W.H.O.
https://t.co/6jrXMMOGf4 
coronavirus paramedic animalcrossing switch raptors canucks oiler novascotia pei eos ny https://t.co/p3aRXsRNqo",Extremely Positive,peopl rush stock food water vitamin c amp plu zinc protect covid19 citi globe lock dont trust coronaviru paramed animalcross switch raptor canuck oiler novascotia pei eo ny
1027,45979,"Dubai, United Arab Emirates",13-03-2020,"The economic effect of Covid-19 will likely reduce global demand for oil and will effect other sectors. Saudi Arabia has forced oil prices down to $30 a barrel as well. 

#ahg #finance x #financeservices #coronavirus #oilvscoronavirus #gulfcountires #economy #globaleffect https://t.co/cU77CasWG3",Negative,econom effect covid19 like reduc global demand oil effect sector saudi arabia forc oil price 30 barrel well ahg financ x financeservic coronaviru oilvscoronaviru gulfcountir economi globaleffect
1028,45980,Leeds UK,13-03-2020,Shopping online because of #Covid_19 #CoronaVirus If you shop with  @boohoo remember to use TopCashback here is what you get back on online purchases sign up free https://t.co/rJjMjU43oU and you will also get a free £5 M&amp;S gift card #boohoo https://t.co/3UGPwVTllU,Extremely Positive,shop onlin covid19 coronaviru shop boohoo rememb use topcashback get back onlin purchas sign free also get free £5 mamp gift card boohoo
1029,45981,,13-03-2020,Long lines at a grocery store in Caloocan #COVID2019 https://t.co/rrKwvF3I3U,Neutral,long line groceri store caloocan covid2019
1030,45982,South Staffordshire ,13-03-2020,@dudleymbc @HWDudley @ATBDudley @DudleyPolice Anyone planning to look after #vulnerable #elderly during #coronavirus #COVID19 #pandemic in #UK? Some have no #broadband/ tablet/online banking/online shopping. @alexa99 to reduce loneliness wld be a good ide,Negative,dudleymbc hwdudley atbdudley dudleypolic anyon plan look vulner elderli coronaviru covid19 pandem uk broadband tabletonlin bankingonlin shop alexa99 reduc loneli wld good ide
1031,45983,mult,13-03-2020,"So,, I literally only have 2 rolls of toilet paper, I went to the grocery store and ofcourse eVErYtHInG is sold out, yall are insane and rip my ass #hamsteren #Covid_19 https://t.co/MRJyNY3JHr",Extremely Negative,liter 2 roll toilet paper went groceri store ofcours everyth sold yall insan rip ass hamsteren covid19
1032,45984,India,13-03-2020,"Ministry of Consumer Affairs and Public distribution: In view of #Coronavirus, masks (2-ply and 3-ply surgical masks, N95 masks) and sanitizers have been declared Essential Commodities temporarily.",Neutral,ministri consum affair public distribut view coronaviru mask 2pli 3pli surgic mask n95 mask sanit declar essenti commod temporarili
1033,45985,,13-03-2020,Tbh all Im trying to find is some Covid-19 discounts for shopping online,Neutral,tbh im tri find covid19 discount shop onlin
1034,45986,"Glendale, AZ ",13-03-2020,A grown 40 something year old woman coughed directly on to the avocados at my local grocery store. She didnt even have the courtesy to aim for a less desirable fruit or vegetable. #coronavirus,Positive,grown 40 someth year old woman cough directli avocado local groceri store didnt even courtesi aim less desir fruit veget coronaviru
